date,code,open,high,low,close,volume,amount,pctChg
2013-04-26,sh.000300,2525.1130,2539.0460,2439.7960,2447.3060,29389808600,293035874813.0000,-3.414637
2013-05-03,sh.000300,2434.6030,2521.1190,2423.0770,2492.9120,10934617900,110467490860.0000,1.863518
2013-05-10,sh.000300,2502.9780,2562.0070,2500.4550,2540.8360,28352059000,296657031191.0000,1.922410
2013-05-17,sh.000300,2542.4120,2598.7060,2479.8720,2592.0480,30580885400,319308056590.0000,2.015557
2013-05-24,sh.000300,2597.1510,2630.0680,2572.8840,2597.2280,37760065300,392312499329.0000,0.199842
2013-05-31,sh.000300,2593.5220,2661.2290,2585.9010,2606.4260,36034380200,372361742370.0000,0.354147
2013-06-07,sh.000300,2605.9690,2625.9360,2475.6870,2484.1600,28525483400,289329470229.0000,-4.690945
2013-06-14,sh.000300,2448.7170,2448.7170,2375.2040,2416.7710,12569460000,117768377440.0000,-2.712748
2013-06-21,sh.000300,2422.7620,2427.5320,2269.5650,2317.3940,26727916800,259413707032.0000,-4.111974
2013-06-28,sh.000300,2308.0690,2308.0690,2023.1710,2200.6390,42826664700,355153885871.0000,-5.038202
2013-07-05,sh.000300,2187.0920,2252.0330,2166.3530,2226.8490,31980401900,296658177266.0000,1.191018
2013-07-12,sh.000300,2194.4230,2351.2230,2149.7870,2275.3730,37295298100,334302568162.0000,2.179043
2013-07-19,sh.000300,2289.7620,2336.0400,2188.7520,2190.4780,33571686300,315227191070.0000,-3.731037
2013-07-26,sh.000300,2170.0890,2276.7420,2159.8130,2224.0080,31240094700,293602628877.0000,1.530716
2013-08-02,sh.000300,2205.0830,2274.7100,2162.9790,2247.2630,28161649300,264660099241.0000,1.045635
2013-08-09,sh.000300,2249.9760,2313.8790,2243.2200,2286.0100,31983618800,307551381228.0000,1.724186
2013-08-16,sh.000300,2296.2200,2423.0810,2293.1760,2304.1440,43452039600,399993627122.0000,0.793260
2013-08-23,sh.000300,2286.2030,2353.4090,2251.9200,2286.9290,32488219000,302687283945.0000,-0.747132
2013-08-30,sh.000300,2294.7590,2345.3580,2288.4960,2313.9100,37935748000,346497826917.0000,1.179792
2013-09-06,sh.000300,2319.9570,2361.1780,2297.4490,2357.7820,37508151600,338271820620.0000,1.896012
2013-09-13,sh.000300,2374.2600,2527.3830,2372.6860,2488.9020,72760883000,625168497299.0000,5.561159
2013-09-18,sh.000300,2501.0770,2503.6940,2407.2430,2432.5100,27588402300,259500274869.0000,-2.265738
2013-09-27,sh.000300,2441.5160,2473.1630,2379.8560,2394.9710,42070806100,417377649308.0000,-1.543221
2013-09-30,sh.000300,2406.2050,2415.0750,2397.2200,2409.0370,5951399200,60990141884.0000,0.587314
2013-10-11,sh.000300,2406.4150,2471.1650,2392.5720,2468.5080,34478111800,341637811735.0000,2.468663
